01ce9a3 2017-11-18 | v2.2.1 - First version on GITHUB (HEAD -> master) [Neels Moller]
4924fdc 2017-11-18 | v2.2.0 - DEV - Add ClassLoader.php + more to temp folder to be considdered later + Update version file. [Neels Moller]
7126860 2017-11-18 | v2.1.1 - UPD - Moved temp and versions UP one level. [Neels Moller]
704431c 2017-11-18 | v2.1.0 - FT - Added Translate.php + isEmpty() in Collection.php + isPjax in View.php + @include({statement}) support in Template.php [Neels Moller]
7ca90d0 2017-11-18 | v2.0.0 - Capitalized first char of all files. Lib as used in HomeSchool App (tag: v2.0.0) [Neels Moller]
d16ad08 2017-11-18 | v1.3.0 - DEV - Add more files. Major update to entity53.php [Neels Moller]
4bd946b 2017-11-18 | v1.2.0 - DEV - Add more files as used in GovGazette project. Fix/improve mysql querybuilder. [Neels Moller]
d237c15 2017-11-18 | v1.1.1 - Fix - Improve mysql query-conditions, sub-condition handling + Fix some file permissions [Neels Moller]
035c85d 2017-11-18 | v1.1.0 - Add more files + mysql set [Neels Moller]
9ffea4f 2017-11-18 | v1.0.0 Add initial files [Neels Moller]
c4094b8 2017-11-18 | Initial commit [Xavier]
